路线编码,路段起点,路段终点,2020,2021,2022,2023,2024,技术等级,面层类型,车道数量,路基宽度,路面宽度,面层厚度,"修建
年度","养护里程
（公里）","已绿化里程
（公里）",地貌,高边坡数量,高边坡长度,涵洞数量
G318,4107,4108,93.4,84.69,62.45,77.61,79.17587539,三级公路,沥青,2,7.5,6,5,1954,20.681,20.666,山岭,32,3299,85
G318,4108,4109,89.1,74.12,25.87,66.01,80.7351358,三级公路,沥青,2,7.5,6,5,1954,20.681,20.666,山岭,32,3299,85
G318,4109,4110,94.4,80.48,67.17,90.15,83.0537087,三级公路,沥青,2,7.5,6,5,1954,20.681,20.666,山岭,32,3299,85
G318,4110,4111,90.74058495,80.08,42.03,74.19,69.37410597,三级公路,沥青,2,7.5,6,5,1954,20.681,20.666,山岭,32,3299,85
G318,4111,4112,94.6,87.01,74.28,75.84,83.0537087,三级公路,沥青,2,7.5,6,5,1954,20.681,20.666,山岭,32,3299,85
G318,4112,4113,94,83.93,75.51,82.2,78.27591078,三级公路,沥青,2,7.5,6,5,1954,20.681,20.666,山岭,32,3299,85
G318,4113,4114,93.6,83.61,73.7,86.11,79.17587539,三级公路,沥青,2,7.5,6,5,1954,20.681,20.666,山岭,32,3299,85
G318,4114,4115,89,42.93,2.8,81.46,80.38501854,三级公路,沥青,2,7.5,6,5,1954,20.681,20.666,山岭,32,3299,85
G318,4115,4116,83.6,26.28,28.12,68.3,83.23024539,三级公路,沥青,2,7.5,6,5,1954,20.681,20.666,山岭,32,3299,85
G318,4116,4117,94,86.2,62.19,77.97,78.27591078,三级公路,沥青,2,7.5,6,5,1954,20.681,20.666,山岭,32,3299,85
G318,4117,4118,93.3,83.61,63.38,66.46,79.17587539,三级公路,沥青,2,7.5,6,5,1954,20.681,20.666,山岭,32,3299,85
G318,4118,4119,92.2,86.46,75.79,76.72,77.13097472,三级公路,沥青,2,7.5,6,5,1954,20.681,20.666,山岭,32,3299,85
G318,4119,4120,89.73433156,53.28,6.69,1.72,80.23208574,三级公路,沥青,2,7.5,6,5,1954,20.681,20.666,山岭,32,3299,85
G318,4120,4121,90.2,79.33,62.29,64.76,81.28056726,三级公路,沥青,2,7.5,6,5,1954,20.681,20.666,山岭,32,3299,85
G318,4121,4122,92.4,79.43,62.21,83.48,77.45310862,三级公路,沥青,2,7.5,6,5,1954,20.681,20.666,山岭,32,3299,85
G318,4122,4123,86.3,65.81,36.47,48.98,74.84536473,三级公路,沥青,2,7.5,6,5,1954,20.681,20.666,山岭,32,3299,85
G318,4123,4124,90,60.7,43.83,67.15,80.79478391,三级公路,沥青,2,7.5,6,5,1954,20.681,20.666,山岭,32,3299,85
G318,4124,4125,91,64.23,6.58,45.39,70.42056543,三级公路,沥青,2,7.5,6,5,1954,20.681,20.666,山岭,32,3299,85
G318,4125,4126,93.2,71.78,0.81,37.01,80.04434193,三级公路,沥青,2,7.5,6,5,1954,21.229,21.157,山岭,10,1236,92
G318,4126,4127,93.9,69.12,41.46,83.89,79.44429728,三级公路,沥青,2,7.5,6,5,1954,21.229,21.157,山岭,10,1236,92
G318,4127,4128,93.5,69.98,46.89,71.57,80.04434193,三级公路,沥青,2,7.5,6,5,1954,21.229,21.157,山岭,10,1236,92
G318,4128,4129,93.7,78.66,44.64,45.41,80.04434193,三级公路,沥青,2,7.5,6,5,1954,21.229,21.157,山岭,10,1236,92
G318,4129,4130,92.4,62.21,30.48,53.44,78.32157516,三级公路,沥青,2,7.5,6,5,1954,21.229,21.157,山岭,10,1236,92
G318,4130,4131,93.6,57.76,34.44,57.59,80.04434193,三级公路,沥青,2,7.5,6,5,1954,21.229,21.157,山岭,10,1236,92
G318,4131,4132,92.7,68.37,16.91,51.17,78.38583423,三级公路,沥青,2,7.5,6,5,1954,21.229,21.157,山岭,10,1236,92
G318,4132,4133,92.6,79.43,24.12,62.55,78.38583423,三级公路,沥青,2,7.5,6,5,1954,21.229,21.157,山岭,10,1236,92
G318,4133,4134,93.5,82.47,34.48,65.45,80.04434193,三级公路,沥青,2,7.5,6,5,1954,21.229,21.157,山岭,10,1236,92
G318,4134,4135,95.1,86.07,71.19,81.9,82.99669754,三级公路,沥青,2,7.5,6,5,1954,21.229,21.157,山岭,10,1236,92
G318,4135,4136,93.9,85.06,65.53,82.26,79.44429728,三级公路,沥青,2,7.5,6,5,1954,21.229,21.157,山岭,10,1236,92
G318,4136,4137,92.86520141,81.78,77.24,60.1,79.46370085,三级公路,沥青,2,7.5,6,5,1954,21.229,21.157,山岭,10,1236,92
G318,4137,4138,92.61460623,61.85,62.02,11.88,78.38583423,三级公路,沥青,2,7.5,6,5,1954,21.229,21.157,山岭,10,1236,92
G318,4138,4139,92.6,46.8,17.96,48.72,78.38583423,三级公路,沥青,2,7.5,6,5,1954,21.229,21.157,山岭,10,1236,92
G318,4139,4140,94.1,69.12,37.65,69.61,76.14287662,三级公路,沥青,2,7.5,6,5,1954,21.229,21.157,山岭,10,1236,92
G318,4140,4141,92.6,75.38,61.17,61.93,78.38583423,三级公路,沥青,2,7.5,6,5,1954,21.229,21.157,山岭,10,1236,92
G318,4141,4142,91.1,77.97,65.7,49.8,71.68378588,三级公路,沥青,2,7.5,6,5,1954,21.229,21.157,山岭,10,1236,92
G318,4142,4143,91.8,79.81,44.09,61.63,74.71880878,三级公路,沥青,2,7.5,6,5,1954,21.229,21.157,山岭,10,1236,92
G318,4143,4144,90.4,81.78,61.51,54.1,80.94786657,三级公路,沥青,2,7.5,6,5,1954,21.229,21.157,山岭,10,1236,92
G318,4144,4145,90.4,74.84,34.81,53.81,80.94786657,三级公路,沥青,2,7.5,6,5,1954,21.229,21.157,山岭,10,1236,92
G318,4145,4146,86.8,61.3,57.81,90.73,76.9951797,三级公路,沥青,2,7.5,6,5,1954,21.229,21.157,山岭,10,1236,92
G318,4146,4147,92.5,77.57,30.38,89.15,78.38583423,三级公路,沥青,2,7.5,6,5,1954,9.771,9.211,山岭,2,81,108
G318,4147,4148,92.4,77.57,79.27,78.59,78.32157516,三级公路,沥青,2,7.5,6,5,1954,9.771,9.211,山岭,2,81,108
G318,4148,4149,93.1,80.63,67.61,58.98,85.36,三级公路,沥青,2,7.5,6,5,1954,9.771,9.211,山岭,2,81,108
G318,4149,4150,94.8,88.97,78.68,87.26,87.21,三级公路,沥青,2,7.5,6,5,1954,9.771,9.211,山岭,2,81,108
G318,4150,4151,95,90.16,85.85,87.63,86.61,三级公路,沥青,2,7.5,6,5,1954,9.771,9.211,山岭,2,81,108
G318,4151,4152,95.7,91.24,85.66,87.99,87.01,三级公路,沥青,2,7.5,6,5,1954,9.771,9.211,山岭,2,81,108
G318,4152,4153,94.4,90.11,87.28,89.13,61.93,三级公路,沥青,2,7.5,6,5,1954,9.771,9.211,山岭,2,81,108
G318,4153,4154,89,61.93,78.74,62.96,74.51,三级公路,沥青,2,7.5,6,5,1954,9.771,9.211,山岭,2,81,108
G318,4154,4155,93,83.69,38.52,76.71,79.05,三级公路,沥青,2,7.5,6,5,1954,9.771,9.211,山岭,2,81,108
G318,4155,4156,92,85.93,68.1,80.39,71.54,三级公路,沥青,2,7.5,6,5,1954,9.771,9.211,山岭,2,81,108
G318,4156,4157,91.5,84.16,78.42,73.43,86.27,三级公路,沥青,2,7.5,6,5,1954,13.7,13.7,山岭,8,1252,28
G318,4157,4158,94,89.08,59.11,87.94,84.39,三级公路,沥青,2,7.5,6,5,1954,13.7,13.7,山岭,8,1252,28
G318,4158,4159,93.8,88.56,71.58,86.15,79.14,三级公路,沥青,2,7.5,6,5,1954,13.7,13.7,山岭,8,1252,28
G318,4159,4160,91.7,87.27,81.41,80.07,92.12,三级公路,沥青,2,7.5,6,5,1954,13.7,13.7,山岭,8,1252,28
G318,4160,4161,95.6,92.08,79.2,92.67,90.56,三级公路,沥青,2,7.5,6,5,1954,13.7,13.7,山岭,8,1252,28
G318,4161,4162,94,91.05,87.24,91.14,90.31,三级公路,沥青,2,7.5,6,5,1954,13.7,13.7,山岭,8,1252,28
G318,4162,4163,95.5,91,86.42,92.02,90.06,三级公路,沥青,2,7.5,6,5,1954,13.7,13.7,山岭,8,1252,28
G318,4163,4164,94.1,88.8,86.85,90.22,82.47,三级公路,沥青,2,7.5,6,5,1954,13.7,13.7,山岭,8,1252,28
G318,4164,4165,92.6,80.36,81.07,83.82,83.61,三级公路,沥青,2,7.5,6,5,1954,13.7,13.7,山岭,8,1252,28
G318,4165,4166,90.3,77.47,71.84,84.12,83.85,三级公路,沥青,2,7.5,6,5,1954,13.7,13.7,山岭,8,1252,28
G318,4166,4167,92.8,86,72.77,86.21,90.01,三级公路,沥青,2,7.5,6,5,1954,13.7,13.7,山岭,8,1252,28
G318,4167,4168,95.5,90.51,71.99,90.4,85.21,三级公路,沥青,2,7.5,6,5,1954,13.7,13.7,山岭,8,1252,28
G318,4168,4169,93.2,85.86,84.61,86.09,69.98,三级公路,沥青,2,7.5,6,5,1954,13.7,13.7,山岭,8,1252,28
G318,4169,4170,92.7,76.34,73.57,72.18,88.97,三级公路,沥青,2,7.5,6,5,1954,13.7,13.7,山岭,8,1252,28
G318,4170,4171,94.5,93.29,67.07,91.46142841,92.32839003,三级公路,沥青,4,20,18,5,1954,5.485,5.424,山岭,0,0,9
G318,4171,4172,95.9,91.42,82.92,94.48,92.32839003,二级公路,沥青,4,20,18,5,1954,5.485,5.424,山岭,0,0,9
G318,4172,4173,91.2,76.02,79.57,83.75,79.06554851,二级公路,沥青,4,20,18,5,1954,5.485,5.424,山岭,0,0,9
G318,4173,4174,92.20711951,76.96,31.22,81.13,86.63464257,二级公路,沥青,4,20,18,5,1954,5.485,5.424,山岭,0,0,9
G318,4174,4175,92.3085936,80.54,34,87.63,86.63464257,二级公路,沥青,4,20,18,5,1954,5.485,5.424,山岭,0,0,9
G318,4175,4176,92.37636681,84.39,50.17,87.26,85.06,二级公路,沥青,2,7.5,6.5,5,1954,1.125,0.8,山岭,0,0,1
G318,4176,4177,93.12610772,90.41,81.41,92.77,94.27,三级公路,沥青,2,7.5,6,5,1954,30.537,25.537,山岭,8,664,57
G318,4177,4178,92.481886,92.81,84.91,93.49,88.21,三级公路,沥青,2,7.5,6,5,1954,30.537,25.537,山岭,8,664,57
G318,4178,4179,91.68913995,87.9,86.48,87.92,88.02,三级公路,沥青,2,7.5,6,5,1954,30.537,25.537,山岭,8,664,57
G318,4179,4180,93.49027997,86.61,74.66,90.06,94.49,三级公路,沥青,2,7.5,6,5,1954,30.537,25.537,山岭,8,664,57
G318,4180,4181,93.31801748,90.36,83.26,92.43,93.18,三级公路,沥青,2,7.5,6,5,1954,30.537,25.537,山岭,8,664,57
G318,4181,4182,93.12610772,89.25,83.83,92.32,94.34,三级公路,沥青,2,7.5,6,5,1954,30.537,25.537,山岭,8,664,57
G318,4182,4183,93.08094544,91.95,76.98,93.31,91.1,三级公路,沥青,2,7.5,6,5,1954,30.537,25.537,山岭,8,664,57
G318,4183,4184,93.0409637,91.05,81.91,92.57,92.88,三级公路,沥青,2,7.5,6,5,1954,30.537,25.537,山岭,8,664,57
G318,4184,4185,92.95177812,93.47,88.17,93.97,89.31,三级公路,沥青,2,7.5,6,5,1954,30.537,25.537,山岭,8,664,57
G318,4185,4186,92.94809135,84.77,71.74,87.88,92.37,三级公路,沥青,2,7.5,6,5,1954,30.537,25.537,山岭,8,664,57
G318,4186,4187,93.14882234,90.31,85.28,92.88,90.46,三级公路,沥青,2,7.5,6,5,1954,30.537,25.537,山岭,8,664,57
G318,4187,4188,93.31801748,87.27,73.71,90.83,93.26,三级公路,沥青,2,7.5,6,5,1954,30.537,25.537,山岭,8,664,57
G318,4188,4189,93.08094544,93.15,79.29,94.46,91.69,三级公路,沥青,2,7.5,6,5,1954,30.537,25.537,山岭,8,664,57
G318,4189,4190,94.57205255,91.19,90.72,92.87,93.65,三级公路,沥青,2,7.5,6,5,1954,30.537,25.537,山岭,8,664,57
G318,4190,4191,93.31801748,92.88,88.76,93.36,93.18,三级公路,沥青,2,7.5,6,5,1954,30.537,25.537,山岭,8,664,57
G318,4191,4192,93.08094544,91.78,86.62,92.99,91.64,三级公路,沥青,2,7.5,6,5,1954,30.537,25.537,山岭,8,664,57
G318,4192,4193,93.0409637,90.06,88.72,92.09,92.73,三级公路,沥青,2,7.5,6,5,1954,30.537,25.537,山岭,8,664,57
G318,4193,4194,92.95177812,91.47,81.24,93.05,89.47,三级公路,沥青,2,7.5,6,5,1954,30.537,25.537,山岭,8,664,57
G318,4194,4195,92.481886,90.01,81.74,91.37,88.33,三级公路,沥青,2,7.5,6,5,1954,30.537,25.537,山岭,8,664,57
G318,4195,4196,93.08094544,87.01,73.09,89.84,91.33,三级公路,沥青,2,7.5,6,5,1954,30.537,25.537,山岭,8,664,57
G318,4196,4197,93.14882234,85.71,76.85,92.43,90.46,三级公路,沥青,2,7.5,6,5,1954,30.537,25.537,山岭,8,664,57
G318,4197,4198,92.26410212,91.56,72.74,90.77,84.77,三级公路,沥青,2,7.5,6,5,1954,30.537,25.537,山岭,8,664,57
G318,4198,4199,92.26410212,86.14,83.45,85.92,84.77,三级公路,沥青,2,7.5,6,5,1954,30.537,25.537,山岭,8,664,57
G318,4199,4200,89.93029283,66.2,71.78,22.64,87.96,三级公路,沥青,2,7.5,6,5,1954,30.537,25.537,山岭,8,664,57
G318,4200,4201,92.37636681,87.04,49.98,85.5725248,87.08,三级公路,沥青,2,7.5,6,5,1954,30.537,25.537,山岭,8,664,57
G318,4201,4202,93.14882234,87.27,80.09,88.32,90.46,三级公路,沥青,2,7.5,6,5,1954,30.537,25.537,山岭,8,664,57
G318,4202,4203,92.95177812,90.16,79.29,90.91,89.19,三级公路,沥青,2,7.5,6,5,1954,30.537,25.537,山岭,8,664,57
G318,4203,4204,92.37636681,88.91,81.28,90.71,85.36,三级公路,沥青,2,7.5,6,5,1954,30.537,25.537,山岭,8,664,57
G318,4204,4205,91.61152581,87.72,84.24,86.31,69.12,三级公路,沥青,2,7.5,6,5,1954,30.537,25.537,山岭,8,664,57
G318,4205,4206,91.28634719,68.62,61.52,70.54,81.87,三级公路,沥青,2,7.5,6,5,1954,30.537,25.537,山岭,8,664,57
G318,4206,4207,93.14882234,77.47,39.59,77.14,90.26,三级公路,沥青,2,7.5,6,5,1954,30.537,25.537,山岭,8,664,57
G318,4207,4208,92.59590258,88.45,66.72,86.91274344,88.45,三级公路,沥青,2,7.5,6,5,1954,11.153,10,山岭,11,984,74
G318,4208,4209,92.37636681,86.75,73.36,88.98,87.14,三级公路,沥青,2,7.5,6,5,1954,11.153,10,山岭,11,984,74
G318,4209,4210,93.0409637,86.96,79.33,87.88,92.57,三级公路,沥青,2,7.5,6,5,1954,11.153,10,山岭,11,984,74
G318,4210,4211,92.37636681,93.68,83.9,93.46,85.06,三级公路,沥青,2,7.5,6,5,1954,11.153,10,山岭,11,984,74
G318,4211,4212,92.13332179,86.61,88.38,85.78,82.8,三级公路,沥青,2,7.5,6,5,1954,11.153,10,山岭,11,984,74
G318,4212,4213,92.13332179,58.04,72.25,29.75,82.13,三级公路,沥青,2,7.5,6,5,1954,11.153,10,山岭,11,984,74
G318,4213,4214,92.13332179,84,65.67,66.73669253,83.53,三级公路,沥青,2,7.5,6,5,1954,11.153,10,山岭,11,984,74
G318,4214,4215,92.95177812,84.46,77.22,85.63,89.53,三级公路,沥青,2,7.5,6,5,1954,11.153,10,山岭,11,984,74
G318,4215,4216,92.37636681,85.43,73.14,90.21,86.48,三级公路,沥青,2,7.5,6,5,1954,11.153,10,山岭,11,984,74
G318,4216,4217,93.08094544,79.52,69.19,88.15,91.78,三级公路,沥青,2,7.5,6,5,1954,11.153,10,山岭,11,984,74
G318,4217,4218,92.37636681,89.03,56.69,92.58,86.88,三级公路,沥青,2,7.5,6,5,1954,11.153,10,山岭,11,984,74
G318,4218,4219,92.95177812,83.92,75.27,88.8,89.36,三级公路,沥青,2,7.5,6,5,1954,28.543,28.128,山岭,6,769,62
G318,4219,4220,93.08094544,90.71,67.45,91.59,91.42,三级公路,沥青,2,7.5,6,5,1954,28.543,28.128,山岭,6,769,62
G318,4220,4221,93.08094544,91.42,86.19,91.74,91.24,三级公路,沥青,2,7.5,6,5,1954,28.543,28.128,山岭,6,769,62
G318,4221,4222,92.37636681,92.25,86.02,93.13,86.61,三级公路,沥青,2,7.5,6,5,1954,28.543,28.128,山岭,6,769,62
G318,4222,4223,93.08094544,85.79,80.51,87.42,91.37,三级公路,沥青,2,7.5,6,5,1954,28.543,28.128,山岭,6,769,62
G318,4223,4224,92.59590258,91.64,82.34,93.08,88.51,三级公路,沥青,2,7.5,6,5,1954,28.543,28.128,山岭,6,769,62
G318,4224,4225,93.08094544,90.41,85.56,90.18,91.69,三级公路,沥青,2,7.5,6,5,1954,28.543,28.128,山岭,6,769,62
G318,4225,4226,94.19109168,92.12,84.41,92.69,93.89,三级公路,沥青,2,7.5,6,5,1954,28.543,28.128,山岭,6,769,62
G318,4226,4227,93.14882234,94.08,86.27,95.07,90.01,三级公路,沥青,2,7.5,6,5,1954,28.543,28.128,山岭,6,769,62
G318,4227,4228,93.0409637,91.05,90.27,91.51,92.81,三级公路,沥青,2,7.5,6,5,1954,28.543,28.128,山岭,6,769,62
G318,4228,4229,93.14882234,91.99,83.97,93.5,90.16,三级公路,沥青,2,7.5,6,5,1954,28.543,28.128,山岭,6,769,62
G318,4229,4230,92.94809135,90.51,87.27,91.15,92.45,三级公路,沥青,2,7.5,6,5,1954,28.543,28.128,山岭,6,769,62
G318,4230,4231,93.08094544,92.41,80.78,93.22,91.47,三级公路,沥青,2,7.5,6,5,1954,28.543,28.128,山岭,6,769,62
G318,4231,4232,93.0409637,91.14,88.06,92.43,92.85,三级公路,沥青,2,7.5,6,5,1954,28.543,28.128,山岭,6,769,62
G318,4232,4233,92.87845528,94.4,88.29,94.36,88.85,三级公路,沥青,2,7.5,6,5,1954,28.543,28.128,山岭,6,769,62
G318,4233,4234,92.37636681,85.86,88.21,89.75,87.14,三级公路,沥青,2,7.5,6,5,1954,28.543,28.128,山岭,6,769,62
G318,4234,4235,92.34201321,79.33,76.72,88.96,87.27,三级公路,沥青,2,7.5,6,5,1954,28.543,28.128,山岭,6,769,62
G318,4235,4236,93.0409637,86.2,78.78,88.63,92.92,三级公路,沥青,2,7.5,6,5,1954,28.543,28.128,山岭,6,769,62
G318,4236,4237,93.08094544,89.9,75.53,93.37,91.05,三级公路,沥青,2,7.5,6,5,1954,28.543,28.128,山岭,6,769,62
G318,4237,4238,92.80298333,90.36,81.09,93.1,88.56,三级公路,沥青,2,7.5,6,5,1954,28.543,28.128,山岭,6,769,62
G318,4238,4239,92.34201321,85.93,76.74,89.11,87.53,三级公路,沥青,2,7.5,6,5,1954,28.543,28.128,山岭,6,769,62
G318,4239,4240,92.481886,86.14,75.12,88.59,88.39,三级公路,沥青,2,7.5,6,5,1954,28.543,28.128,山岭,6,769,62
G318,4240,4241,92.95177812,84.84,73.01,90.47,89.31,三级公路,沥青,2,7.5,6,5,1954,28.543,28.128,山岭,6,769,62
G318,4241,4242,92.84373437,85.43,60.99,90.95,92.12,三级公路,沥青,2,7.5,6,5,1954,28.543,28.128,山岭,6,769,62
G318,4242,4243,91.99140926,89.36,72.57,93.23,80.81,三级公路,沥青,2,7.5,6,5,1954,28.543,28.128,山岭,6,769,62
G318,4243,4244,93.08094544,88.02,77.27,81.62,91.1,三级公路,沥青,2,7.5,6,5,1954,28.543,28.128,山岭,6,769,62
G318,4244,4245,92.95177812,85.36,20.82,91.82,89.58,三级公路,沥青,2,7.5,6,5,1954,28.543,28.128,山岭,6,769,62
G318,4245,4246,92.95177812,85.21,59.16,90.45,89.14,三级公路,沥青,2,7.5,6,5,1954,28.543,28.128,山岭,6,769,62
G318,4246,4247,91.65359318,87.27,57.47,90.02,88.09,三级公路,沥青,2,7.5,6,5,1954,28.543,28.128,山岭,6,769,62
G318,4247,4248,92.95177812,86.34,60.73,90.34168516,89.47,三级公路,沥青,2,7.5,6,5,1954,39.897,39.338,山岭,0,0,100
G318,4248,4249,92.95177812,89.36,75.09,90.91,89.36,三级公路,沥青,2,7.5,6,5,1954,39.897,39.338,山岭,0,0,100
G318,4249,4250,92.80298333,87.65,74.83,90.56,88.62,三级公路,沥青,2,7.5,6,5,1954,39.897,39.338,山岭,0,0,100
G318,4250,4251,92.95177812,85.06,69.95,89.48,89.63,三级公路,沥青,2,7.5,6,5,1954,39.897,39.338,山岭,0,0,100
G318,4251,4252,92.37636681,89.79,78.01,90.38,86.68,三级公路,沥青,2,7.5,6,5,1954,39.897,39.338,山岭,0,0,100
G318,4252,4253,93.14882234,86.14,87.35,87.39,90.46,三级公路,沥青,2,7.5,6,5,1954,39.897,39.338,山岭,0,0,100
G318,4253,4254,92.59590258,88.51,75.79,91.58,88.45,三级公路,沥青,2,7.5,6,5,1954,39.897,39.338,山岭,0,0,100
G318,4254,4255,93.10108348,85.36,77.58,89.22,90.91,三级公路,沥青,2,7.5,6,5,1954,39.897,39.338,山岭,0,0,100
G318,4255,4256,93.08094544,85.57,72.42,91.43,90.95,三级公路,沥青,2,7.5,6,5,1954,39.897,39.338,山岭,0,0,100
G318,4256,4257,91.65359318,87.72,74.21,92.13,88.09,三级公路,沥青,2,7.5,6,5,1954,39.897,39.338,山岭,0,0,100
G318,4257,4258,92.94809135,87.59,70.14,90.32,92.45,三级公路,沥青,2,7.5,6,5,1954,39.897,39.338,山岭,0,0,100
G318,4258,4259,93.08094544,89.9,78.93,93.22,91.82,三级公路,沥青,2,7.5,6,5,1954,39.897,39.338,山岭,0,0,100
G318,4259,4260,90.8126166,93.18,84.57,93.07,56.62,三级公路,沥青,2,7.5,6,5,1954,39.897,39.338,山岭,0,0,100
G318,4260,4261,92.37636681,40.54,49.47,57.91,86.88,三级公路,沥青,2,7.5,6,5,1954,39.897,39.338,山岭,0,0,100
G318,4261,4262,92.37636681,83.29,65.31,89.05,86.07,三级公路,沥青,2,7.5,6,5,1954,39.897,39.338,山岭,0,0,100
G318,4262,4263,92.95177812,80.45,64.91,88.03,89.25,三级公路,沥青,2,7.5,6,5,1954,39.897,39.338,山岭,0,0,100
G318,4263,4264,92.95177812,86.48,70.8,90.86,89.14,三级公路,沥青,2,7.5,6,5,1954,39.897,39.338,山岭,0,0,100
G318,4264,4265,93.08094544,82.88,63.67,90.7,91.42,三级公路,沥青,2,7.5,6,5,1954,39.897,39.338,山岭,0,0,100
